Date,Borough,Outcome type_Formal action is not in the public interest,Outcome type_Investigation complete; no suspect identified,Outcome type_Local resolution,Outcome type_Offender given a caution,Outcome type_Offender given a drugs possession warning,Outcome type_Offender given penalty notice,Outcome type_Suspect charged,Outcome type_Suspect charged as part of another case,Outcome type_Unable to prosecute suspect,Total
2022-08-01,Three Rivers,0,1,0,0,0,0,0,0,0,1
2022-08-01,Thurrock,0,1,0,0,0,0,0,0,0,1
2022-08-01,Tower Hamlets,0,2109,63,17,4,33,141,0,0,2367
2022-08-01,Wakefield,0,3,0,0,0,0,0,0,0,3
2022-08-01,Waltham Forest,0,1153,122,17,0,38,89,0,0,1419
2022-08-01,Wandsworth,0,992,55,16,1,8,92,0,0,1164
2022-08-01,Welwyn Hatfield,0,1,0,0,0,0,0,0,0,1
2022-08-01,Westminster,0,3518,224,30,1,18,219,1,0,4011
2022-08-01,Windsor and Maidenhead,0,1,0,0,0,0,0,0,0,1
2022-08-01,Wokingham,0,1,0,0,0,0,0,0,0,1
2022-08-01,Wolverhampton,0,4,0,0,0,0,0,0,0,4
2022-08-01,Wycombe,0,1,0,0,0,0,1,0,0,2
2022-09-01,Allerdale,0,1,0,0,0,0,0,0,0,1
2022-09-01,Arun,0,2,0,0,0,0,0,0,0,2
2022-09-01,Barking and Dagenham,0,1167,79,11,2,19,76,0,0,1354
2022-09-01,Barnet,0,4243,20,12,0,2,104,0,0,4381
2022-09-01,Basildon,0,3,0,0,0,0,0,0,0,3
2022-09-01,Bath and North East Somerset,0,2,0,0,0,0,0,0,0,2
2022-09-01,Bedford,0,3,0,0,0,0,0,0,0,3
2022-09-01,Bexley,0,1771,33,11,0,6,71,0,0,1892
2022-09-01,Birmingham,0,10,0,0,0,0,0,0,0,10
2022-09-01,Blackburn with Darwen,0,1,0,0,0,0,0,0,0,1
2022-09-01,Bournemouth,0,2,0,0,0,0,0,0,0,2
2022-09-01,Bradford,0,1,0,0,0,0,0,0,0,1
2022-09-01,Braintree,0,2,0,0,0,0,0,0,0,2
2022-09-01,Breckland,0,1,0,0,0,0,0,0,0,1
2022-09-01,Brent,0,2752,55,20,0,13,134,0,0,2974
2022-09-01,Brentwood,0,8,0,0,0,0,0,0,0,8
2022-09-01,Brighton and Hove,0,2,0,0,0,0,0,0,0,2
2022-09-01,Bristol,0,8,0,0,0,0,0,0,0,8
2022-09-01,Bromley,0,1412,66,20,0,5,87,0,0,1590
2022-09-01,Bromsgrove,0,2,0,0,0,0,0,0,0,2
2022-09-01,Broxbourne,0,8,0,0,0,0,2,0,0,10
2022-09-01,Caerphilly,0,1,0,0,0,0,0,0,0,1
2022-09-01,Calderdale,0,1,0,0,0,0,0,0,0,1
2022-09-01,Cambridge,0,3,0,0,0,0,0,0,0,3
2022-09-01,Camden,0,4142,66,16,0,11,128,0,0,4363
2022-09-01,Canterbury,0,2,0,0,0,0,0,0,0,2
2022-09-01,Cardiff,0,5,0,0,0,0,0,0,0,5
2022-09-01,Chelmsford,0,2,0,0,0,0,0,0,0,2
2022-09-01,Cheshire East,0,1,0,0,0,0,0,0,0,1
2022-09-01,Chichester,0,1,0,0,0,0,0,0,0,1
2022-09-01,City of London,0,118,2,1,0,0,2,0,0,123
2022-09-01,Colchester,0,1,0,0,0,0,0,0,0,1
2022-09-01,Cornwall,0,3,0,0,0,0,0,0,0,3
2022-09-01,County Durham,0,4,0,0,0,0,0,0,0,4
2022-09-01,Coventry,0,1,0,0,0,0,0,0,0,1
2022-09-01,Croydon,0,3248,54,31,0,18,134,0,0,3485
2022-09-01,Dacorum,0,1,0,0,0,0,2,0,0,3
2022-09-01,Dartford,0,16,0,0,0,0,0,0,0,16
2022-09-01,Derby,0,1,0,0,0,0,0,0,0,1
2022-09-01,Ealing,0,3473,32,14,0,11,129,0,0,3659
2022-09-01,East Dorset,0,1,0,0,0,0,0,0,0,1
2022-09-01,East Hampshire,0,3,0,0,0,0,0,0,0,3
2022-09-01,East Hertfordshire,0,2,0,0,0,0,0,0,0,2
