Date,Borough,Abstraction Type_Aid,Abstraction Type_CAD,Abstraction Type_Court,Abstraction Type_Custody,Abstraction Type_Local Aid,Abstraction Type_Not Abstracted,Abstraction Type_Staffing Up,Abstraction Type_Training
2018-12-01,Tower Hamlets,26160.0,0.0,0.0,0.0,4830.0,250527.0,0.0,23230.0
2018-12-01,Waltham Forest,540.0,0.0,540.0,0.0,0.0,274912.0,540.0,13080.0
2018-12-01,Wandsworth,2520.0,0.0,0.0,0.0,3960.0,273568.0,0.0,20940.0
2019-01-01,Barking And Dagenham,0.0,0.0,0.0,0.0,6840.0,320760.0,0.0,14430.0
2019-01-01,Barnet,14280.0,0.0,2100.0,0.0,20130.0,391020.0,0.0,25920.0
2019-01-01,Bexley,0.0,0.0,2010.0,0.0,5520.0,353445.0,0.0,14880.0
2019-01-01,Brent,0.0,0.0,540.0,0.0,0.0,312073.0,0.0,25230.0
2019-01-01,Camden,4500.0,0.0,3780.0,0.0,1980.0,366336.0,0.0,11340.0
2019-01-01,Ealing,1620.0,0.0,3660.0,0.0,21480.0,327605.0,0.0,14490.0
2019-01-01,Enfield,0.0,0.0,780.0,0.0,3540.0,397027.0,1620.0,15420.0
2019-01-01,Greenwich,540.0,0.0,8100.0,0.0,11700.0,286130.0,0.0,22980.0
2019-01-01,Hackney,1650.0,0.0,960.0,0.0,0.0,296345.0,0.0,10140.0
2019-01-01,Haringey,0.0,0.0,4380.0,0.0,540.0,372200.0,0.0,15360.0
2019-01-01,Harrow,3000.0,0.0,0.0,0.0,1140.0,195240.0,0.0,4440.0
2019-01-01,Havering,0.0,0.0,0.0,0.0,2790.0,204705.0,0.0,10650.0
2019-01-01,Hillingdon,1110.0,0.0,1020.0,0.0,6060.0,223230.0,0.0,12000.0
2019-01-01,Hounslow,1680.0,0.0,2370.0,0.0,2160.0,232581.0,0.0,5460.0
2019-01-01,Islington,360.0,0.0,1290.0,0.0,5010.0,307006.0,0.0,16140.0
2019-01-01,Kingston,0.0,0.0,2580.0,0.0,0.0,168075.0,0.0,3840.0
2019-01-01,Lambeth,7140.0,540.0,5010.0,0.0,1500.0,283575.0,0.0,20400.0
2019-01-01,Lewisham,1440.0,0.0,960.0,0.0,7680.0,241627.0,0.0,15300.0
2019-01-01,Merton,0.0,0.0,1020.0,0.0,780.0,310890.0,0.0,9960.0
2019-01-01,Newham,0.0,0.0,1560.0,0.0,480.0,376470.0,0.0,18630.0
2019-01-01,Redbridge,540.0,0.0,0.0,0.0,600.0,328440.0,0.0,11280.0
2019-01-01,Richmond,1680.0,0.0,1080.0,0.0,540.0,247792.0,600.0,4980.0
2019-01-01,Southwark,900.0,0.0,1440.0,0.0,10860.0,405035.0,0.0,11730.0
2019-01-01,Tower Hamlets,0.0,0.0,2520.0,0.0,540.0,369210.0,0.0,15600.0
2019-01-01,Waltham Forest,0.0,0.0,1320.0,0.0,0.0,302400.0,0.0,22620.0
2019-01-01,Wandsworth,540.0,0.0,1440.0,0.0,4680.0,335017.0,0.0,8040.0
2019-02-01,Barking And Dagenham,5760.0,0.0,0.0,0.0,2700.0,316590.0,0.0,8190.0
2019-02-01,Barnet,7680.0,0.0,3240.0,0.0,1590.0,419370.0,1500.0,20280.0
2019-02-01,Bexley,0.0,0.0,900.0,0.0,7860.0,325292.0,0.0,21780.0
2019-02-01,Brent,0.0,0.0,3720.0,0.0,8640.0,285156.0,540.0,8040.0
2019-02-01,Bromley,2160.0,0.0,2700.0,0.0,23010.0,308025.0,0.0,13860.0
2019-02-01,Camden,1020.0,0.0,540.0,0.0,1200.0,364173.0,0.0,7620.0
2019-02-01,Croydon,0.0,0.0,3330.0,0.0,28500.0,422941.0,0.0,26775.0
2019-02-01,Ealing,0.0,0.0,2700.0,0.0,15390.0,315600.0,2100.0,31800.0
2019-02-01,Enfield,600.0,0.0,3060.0,0.0,9600.0,355352.0,540.0,29220.0
2019-02-01,Greenwich,1980.0,0.0,5940.0,0.0,3960.0,282915.0,1440.0,23550.0
2019-02-01,Hackney,60.0,0.0,0.0,0.0,3000.0,286968.0,0.0,23640.0
2019-02-01,Hammersmith And Fulham,480.0,0.0,4440.0,0.0,0.0,229500.0,540.0,19590.0
2019-02-01,Haringey,0.0,0.0,1440.0,0.0,2040.0,353115.0,0.0,29700.0
2019-02-01,Harrow,2640.0,0.0,1020.0,0.0,3060.0,230535.0,0.0,7650.0
2019-02-01,Havering,5250.0,0.0,540.0,0.0,4530.0,205421.0,0.0,6930.0
2019-02-01,Hillingdon,1080.0,0.0,540.0,0.0,780.0,216429.0,960.0,20520.0
2019-02-01,Hounslow,0.0,0.0,0.0,0.0,540.0,225205.0,540.0,11120.0
2019-02-01,Islington,1080.0,0.0,600.0,0.0,4860.0,264392.0,300.0,16680.0
2019-02-01,Kensington And Chelsea,2700.0,0.0,2160.0,0.0,3960.0,228352.0,570.0,28770.0
2019-02-01,Kingston,0.0,0.0,0.0,0.0,1110.0,192450.0,0.0,8580.0
2019-02-01,Lambeth,7830.0,0.0,4380.0,0.0,13740.0,265515.0,0.0,28200.0
2019-02-01,Lewisham,1170.0,0.0,1860.0,0.0,7410.0,274329.0,0.0,22800.0
2019-02-01,Merton,0.0,0.0,2100.0,0.0,2160.0,315150.0,0.0,2640.0
2019-02-01,Newham,840.0,0.0,2220.0,0.0,8520.0,339795.0,0.0,3180.0
2019-02-01,Redbridge,4920.0,0.0,570.0,0.0,2940.0,288810.0,0.0,9300.0
