Date,Borough,Rank Constable,Rank PSCO
2020-03-01,Harrow,157975.0,14.0
2020-03-01,Havering,533638.0,77963.0
2020-03-01,Hillingdon,17220.0,414135.0
2020-03-01,Hounslow,390.0,96727.0
2020-03-01,Islington,48.0,30.0
2020-03-01,Kensington And Chelsea,30.0,77418.0
2020-03-01,Kingston,177564.0,140535.0
2020-03-01,Lambeth,39.0,138904.0
2020-03-01,Lewisham,2708.0,265486.0
2020-03-01,Merton,2136.0,368700.0
2020-03-01,Newham,41.0,130488.0
2020-03-01,Redbridge,163740.0,89064.0
2020-03-01,Richmond,28921.0,250015.0
2020-03-01,Southwark,214.0,20.0
2020-03-01,Sutton,1625.0,386074.0
2020-03-01,Tower Hamlets,17990.0,377560.0
2020-03-01,Waltham Forest,40.0,14.0
2020-03-01,Wandsworth,62663.0,313346.0
2020-03-01,Westminster,40.0,1216026.0
2020-04-01,Barking And Dagenham,194021.0,179924.0
2020-04-01,Barnet,37.0,163520.0
2020-04-01,Bexley,173666.0,1051515.0
2020-04-01,Brent,305188.0,76406.0
2020-04-01,Bromley,90.0,344319.0
2020-04-01,Camden,7009.0,80035.0
2020-04-01,Croydon,197459.0,86131.0
2020-04-01,Ealing,77061.0,17.0
2020-04-01,Enfield,39915.0,116682.0
2020-04-01,Greenwich,32.0,301814.0
2020-04-01,Hackney,47.0,132473.0
2020-04-01,Hammersmith And Fulham,135.0,12.0
2020-04-01,Haringey,44.0,17.0
2020-04-01,Harrow,157974.0,83346.0
2020-04-01,Havering,535514.0,77962.0
2020-04-01,Hillingdon,17219.0,303023.0
2020-04-01,Hounslow,400.0,96726.0
2020-04-01,Islington,48.0,30.0
2020-04-01,Kensington And Chelsea,32.0,156223.0
2020-04-01,Kingston,168884.0,140532.0
2020-04-01,Lambeth,39.0,138904.0
2020-04-01,Lewisham,2708.0,265486.0
2020-04-01,Merton,2135.0,368700.0
2020-04-01,Newham,40.0,130488.0
2020-04-01,Redbridge,190076.0,89064.0
2020-04-01,Richmond,38918.0,161121.0
2020-04-01,Southwark,217.0,15.0
2020-04-01,Sutton,1625.0,376351.0
2020-04-01,Tower Hamlets,477.0,289155.0
2020-04-01,Waltham Forest,40.0,13.0
2020-04-01,Wandsworth,62665.0,399900.0
2020-04-01,Westminster,41.0,1216023.0
2020-05-01,Barking And Dagenham,195820.0,259095.0
2020-05-01,Barnet,45.0,163519.0
2020-05-01,Bexley,173666.0,1051514.0
2020-05-01,Brent,205190.0,76406.0
2020-05-01,Bromley,92.0,344318.0
2020-05-01,Camden,6998.0,80035.0
2020-05-01,Croydon,197641.0,86130.0
2020-05-01,Ealing,77061.0,17.0
2020-05-01,Enfield,39914.0,116681.0
2020-05-01,Greenwich,32.0,301814.0
2020-05-01,Hackney,47.0,226915.0
